TagID_Hex,Time_in_ana,Time_out_anac,Weight,Length,Scales,Fins,Eyes,Ad_Clip,Time_out_surgery,Bleeding,Time_recovered,Surgeon,Data_Rec,Rel_group,HT_Temp,HT_DO,SB_Temp,SB_DO,Notes,DateTagged,Tag_placement,Tank Number,OrderID,Mort24hr
00CB,10:13:44,10:15:19,2.57,74,g,g,g,,10:16:26,,10:19:40,JH,AK,L,12.1,,12,,Flopper,2023-12-13,TA,2,693,N
009A,10:15:31,10:17:10,3.7,77,g,g,g,,10:17:57,,10:20:05,JH,AK,L,12.1,,12,,,2023-12-13,TA,2,694,N
219,10:17:22,10:19:10,4.11,82,g,g,g,,10:20:17,,10:22:08,JH,AK,L,12.1,,12,,Floppy,2023-12-13,TA,2,695,N
068D,10:19:15,10:20:51,3.48,78,g,g,g,,10:21:43,,10:23:27,JH,AK,L,12.1,,12,,,2023-12-13,TA,2,696,N
246,10:21:18,10:22:59,2.67,70,g,g,g,,10:23:53,,10:27:16,JH,AK,V,12.1,,12,,,2023-12-13,TA,3,697,N
34,10:23:19,10:24:55,2.08,68,g,f,g,,10:25:30,,10:28:32,JH,AK,V,12.1,,12,,Ragged Caudal. Split Belly,2023-12-13,TA,3,698,N
2E00,10:27:14,10:28:48,2.41,74,g,g,g,,10:29:52,,10:31:40,JH,AK,V,12.1,,12,,Flopped,2023-12-13,TA,3,699,N
05FA,10:28:57,10:30:31,2.09,69,g,f,g,,10:31:21,,10:33:36,JH,AK,V,12.1,,12,,,2023-12-13,TA,3,700,N
00A8,10:30:49,10:32:33,2.25,74,g,g,g,,10:33:43,,00:00:00,JH,AK,L,12.1,,12,,Floppy lots of milt,2023-12-13,TA,2,701,N
00F3,10:32:41,10:34:23,2.1,70,g,f,g,,10:35:19,,10:38:40,JH,AK,L,12.1,,12,,some milt,2023-12-13,TA,2,702,N
052F,10:34:42,10:36:27,2.8,77,g,g,g,,10:37:22,,10:41:21,JH,AK,L,12.1,,12,,,2023-12-13,TA,2,703,N
00A0,10:36:39,10:38:13,2.8,76,g,g,g,,10:39:12,,10:43:11,JH,AK,L,12.1,,12,,,2023-12-13,TA,2,704,N
752,10:38:26,10:40:10,2.72,78,g,g,g,,10:41:07,,10:45:04,JH,AK,V,12.1,,12,,Floppy,2023-12-13,TA,3,705,N
37,10:40:22,10:42:01,5.48,90,g,g,g,,10:43:01,,10:47:03,JH,AK,V,12.1,,12,,,2023-12-13,TA,3,706,N
403,10:42:15,10:43:48,3.17,79,g,g,g,,10:44:37,,10:47:49,JH,AK,V,12.1,,12,,,2023-12-13,TA,3,707,N
00D4,10:44:15,10:45:59,2.14,70,g,g,g,,10:46:47,,10:48:34,JH,AK,V,12.1,,12,,,2023-12-13,TA,3,708,N
04F4,12:12:23,12:14:11,3.77,79,g,g,g,,12:15:03,,12:18:20,JH,AK,L,12.6,,11.6,,,2023-12-13,TA,5,709,N
03B5,12:14:17,12:16:05,2.75,70,g,g,g,,12:17:09,,12:21:00,JH,AK,L,12.6,,11.6,,,2023-12-13,TA,5,710,N
058F,12:16:09,12:17:46,3.26,80,g,g,g,,12:18:43,,12:21:50,JH,AK,L,12.6,,11.6,,,2023-12-13,TA,5,711,N
027E,12:17:58,12:19:38,3.28,74,g,g,g,,12:20:38,,12:22:48,JH,AK,L,12.6,,11.6,,,2023-12-13,TA,5,712,N
127,12:19:53,12:21:36,3.5,74,g,g,g,,12:22:38,,12:26:29,JH,AK,V,12.6,,11.6,,Split,2023-12-13,TA,6,713,N
03C4,12:21:39,12:23:14,2.44,74,g,g,g,,12:24:40,,12:27:26,JH,AK,V,12.6,,11.6,,,2023-12-13,TA,6,714,N
02DE,12:23:26,12:25:16,3.1,78,g,g,g,,12:26:18,1,12:28:28,JH,AK,V,12.6,,11.6,,Bruising,2023-12-13,TA,6,715,N
370,12:25:25,12:27:00,2.95,72,g,g,g,,12:27:55,,12:32:57,JH,AK,V,12.6,,11.6,,,2023-12-13,TA,6,716,N
020A,12:29:29,12:31:01,2.04,70,g,g,g,,12:31:57,,12:34:30,JH,AK,L,12.6,,11.6,,Milt discharge,2023-12-13,TA,5,717,N
111,12:31:20,12:33:13,3.18,78,g,g,g,,12:34:15,,12:37:56,JH,AK,L,12.6,,11.6,,,2023-12-13,TA,5,718,N
01FD,12:33:22,12:34:56,2.56,72,g,g,g,,12:35:40,,12:39:16,JH,AK,L,12.6,,11.6,,,2023-12-13,TA,5,719,N
01A1,12:35:19,12:36:49,4.67,84,g,g,g,,12:37:45,1,12:40:22,JH,AK,L,12.6,,11.6,,Flopper,2023-12-13,TA,5,720,N
10,12:37:06,12:38:41,3.91,80,g,g,g,,12:39:37,,12:40:23,JH,AK,V,12.6,,11.6,,Split,2023-12-13,TA,6,721,N
035C,12:39:08,12:40:48,2.03,69,g,g,g,,12:42:01,,12:45:07,JH,AK,V,12.6,,11.6,,split belly,2023-12-13,TA,6,722,N
033F,12:41:04,12:42:41,2.71,77,g,f,g,,12:43:30,,12:45:50,JH,AK,V,12.6,,11.6,,Caudal split,2023-12-13,TA,6,723,N
394,12:43:02,12:44:41,3.76,75,g,g,G,,12:45:27,,12:49:00,JH,AK,V,12.6,,11.6,,,2023-12-13,TA,6,724,N
02AC,12:44:53,12:46:30,2.48,70,g,g,g,,12:47:21,,12:49:07,JH,AK,L,12.6,,11.6,,,2023-12-13,TA,5,725,N
06F5,12:46:49,12:48:25,4.84,86,g,g,g,,12:49:24,,12:52:11,JH,AK,L,12.6,,11.6,,,2023-12-13,TA,5,726,N
772,12:48:35,12:50:08,4.47,83,g,g,g,,12:51:03,,12:53:09,JH,AK,L,12.6,,11.6,,,2023-12-13,TA,5,727,N
030D,12:50:22,12:52:05,3.51,79,g,g,g,,12:52:52,,12:56:22,JH,AK,L,12.6,,11.6,,,2023-12-13,TA,5,728,N
02A3,12:52:20,12:53:59,3.3,79,g,g,g,,12:54:48,,12:56:26,JH,AK,V,12.6,,11.6,,"Split Caudal, Floppy",2023-12-13,TA,6,729,N
