Number,TagID_Hex,spp,Rel_group,TankID,TagDate,MortDate,ExptMort,Mort_mass_g,Mort_FL_mm,Sex
167,0140,DeltaSmelt,VT,AES-9,12/21/23,1/11/24,Natural,2.43,75,M
168,0534,DeltaSmelt,LT,AES-2,12/22/23,1/11/24,Natural,3.03,81,F
169,F214,DeltaSmelt,FC,AES-1,12/22/23,1/11/24,Natural,4.53,90,F
170,F131,DeltaSmelt,FC,AES-7,12/21/23,1/11/24,Natural,2.73,82,M
171,SHED,DeltaSmelt,VT,AES-9,12/21/23,1/11/24,Shed,2.52,75,F
172,F215,DeltaSmelt,FC,AES-1,12/22/23,1/12/24,Natural,5.01,89,F
173,SHED,DeltaSmelt,VT,AES-3,12/22/23,1/12/24,Shed,2.11,73,M
174,SHED,DeltaSmelt,VT,AES-3,12/22/23,1/14/24,Shed,2.61,74,F
175,03E5,DeltaSmelt,LT,AES-8,12/21/23,1/15/24,Natural,2.45,74,F
176,F132,DeltaSmelt,FC,AES-7,12/21/23,1/15/24,Natural,3.61,79,F
177,F216,DeltaSmelt,FC,AES-1,12/22/23,1/16/24,Natural,1.93,68,F
178,07A1,DeltaSmelt,VT,AES-3,12/22/23,1/17/24,Natural,2.79,75,M
179,F217,DeltaSmelt,FC,AES-1,12/22/23,1/17/24,Natural,3.48,74,F
180,F133,DeltaSmelt,FC,AES-7,12/21/23,1/17/24,Natural,3.97,77,F
181,0112,DeltaSmelt,VT,AES-9,12/21/23,1/18/24,Natural,5.12,82,F
182,03C0,DeltaSmelt,LT,AES-2,12/22/23,1/19/24,Natural,3.24,75,F
183,F134,DeltaSmelt,FC,AES-7,12/21/23,1/19/24,Natural,2.89,71,F
184,016D,DeltaSmelt,VT,AES-3,12/22/23,1/21/24,Natural,4.22,79,F
185,0376,DeltaSmelt,LT,AES-8,12/21/23,1/21/24,Natural,2.74,75,F
186,02FA,DeltaSmelt,LT,AES-8,12/21/23,1/22/24,Natural,3.27,72,M
187,SHED,DeltaSmelt,VT,AES-3,12/22/23,1/22/24,Shed,2.73,70,F
188,011E,DeltaSmelt,VT,AES-3,12/22/23,1/23/24,Natural,2.93,75,F
189,F218,DeltaSmelt,FC,AES-1,12/22/23,1/23/24,Natural,6.67,85,M
190,F219,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Natural,2.9,77,F
191,F220,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Natural,3.04,69,F
192,F221,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Natural,2.2,66,F
193,0131,DeltaSmelt,VT,AES-3,12/22/23,1/25/24,Natural,4.68,85,F
194,FC56,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
195,FC56,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
196,FC56,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
197,FC56,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
198,FC56,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
199,FC56,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
200,FC56,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
201,FC56,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
202,FC56,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
203,FC56,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
204,FC56,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
205,FC56,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
206,FC56,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
207,FC56,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
208,FC56,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
209,FC56,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
210,FC56,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
211,F135,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
212,F136,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
213,F137,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
214,F138,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
215,F139,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
216,F140,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
217,F141,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
218,F142,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
219,F143,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
220,F144,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
221,F145,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
222,F146,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
223,F147,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
224,F148,DeltaSmelt,FC,AES-7,12/21/23,1/24/24,Euth,,,U
225,F222,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
226,F223,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
227,F224,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
228,F225,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
229,F226,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
230,F227,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
231,F228,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
232,F229,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
233,F230,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
234,F231,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
235,F232,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
236,F233,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
237,F234,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
238,F235,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
239,F236,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
240,F237,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
241,F238,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
242,F239,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
243,F240,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
244,F241,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
245,F242,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
246,F243,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
247,F244,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
248,F245,DeltaSmelt,FC,AES-1,12/22/23,1/24/24,Euth,,,U
