Number,TagID_Hex,spp,Rel_group,TankID,TagDate,MortDate,ExptMort,Mort_Mass_g,Mort_FL_mm,Sex,ReproIndex,ReproNotes
151,794,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,4.9,82,M,2,
152,02CA,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,1.8,69,M,2,
153,3E05,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,4.2,84,M,2,
154,88,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,4,83,M,2,
155,00A8,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,3.5,78,M,2,
156,213,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,3.5,81,M,2,tag pierced through teste
157,003A,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,3.1,78,M,2,
158,Shed,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,7.7,96,F,0,
159,02A2,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,3.7,80,M,2,
160,Shed,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,2.1,65,M,2,
161,033D,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,3.3,75,M,2,
162,752,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,7.1,95,F,1,
163,184,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,3.5,76,M,2,
164,02A3,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,3.1,75,M,2,
165,02B5,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,4.9,85,F,1,
166,Shed,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,3.8,80,M,2,
167,Shed,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,1.9,67,M,2,
168,18,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,2.1,67,M,2,
169,Shed,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,3.5,76,M,2,
170,85,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,2.7,71,M,2,
171,05BB,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,3.9,81,M,1,very small teste
260,HC29,DeltaSmelt,HC,AES-8,8/11/23,9/9/23,Natural,3.6,83,M,2,normal testes
172,FC29,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,3.3,76,M,2,
173,FC30,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,6.6,96,F,1,crusty eggs
174,FC31,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,3.4,76,F,0,
175,FC32,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,7.7,97,F,0,
176,FC33,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,3.4,81,M,2,
177,FC34,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,4.9,87,F,4,inflamed vent likely due to spawning
178,FC35,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,3.1,79,M,2,
179,FC36,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,4,82,F,1,
180,FC37,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,3.5,82,M,2,
181,FC38,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,1.9,70,F,0,
182,FC39,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,2.2,72,M,2,
183,FC40,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,2.4,70,M,2,
184,FC41,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,3.2,78,M,1,
185,FC42,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,2.2,75,M,1,
186,FC43,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,1.6,71,M,2,
187,HC30,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,3.2,75,M,2,
188,HC31,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,3.1,73,M,2,
189,HC32,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,5,88,F,1,
190,HC33,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,6.1,100,F,1,
191,HC34,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,3.4,77,M,2,
192,HC35,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,4.2,84,M,2,
193,HC36,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,2.9,80,M,,"very skinny, small teste, unsure if post spawn; either 1 or 4"
194,HC37,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,5,82,F,1,
195,HC38,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,3.4,76,M,2,
196,HC39,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,5.1,88,F,1,
197,HC40,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,2.5,73,M,2,
198,HC41,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,3.3,77,M,2,fat
199,HC42,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,2.4,73,F,0,
200,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.7,79,M,2,
201,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,5.3,88,F,1,
202,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,5.3,90,F,0,
203,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,4.8,85,M,2,
204,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,5.9,93,F,0,
205,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,4.5,80,F,0,
206,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.7,77,M,2,
207,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.2,77,M,2,
208,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.3,80,M,2,
209,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,5.4,92,F,2,
